Path specified: /test/u0/
Net 		Stat_Prob	TC	TotSimPeriod
key(127) 	 0.01 		 3 	 5000  
key(126) 	 0.012 		 7 	 5000  
key(125) 	 0.012 		 6 	 5000  
key(124) 	 0.012 		 7 	 5000  
key(123) 	 0.008 		 7 	 5000  
key(122) 	 0.012 		 4 	 5000  
key(121) 	 0.012 		 5 	 5000  
key(120) 	 0.004 		 4 	 5000  
key(119) 	 0.016 		 7 	 5000  
key(118) 	 0.01 		 6 	 5000  
key(117) 	 0.012 		 6 	 5000  
key(116) 	 0.012 		 4 	 5000  
key(115) 	 0.006 		 6 	 5000  
key(114) 	 0.01 		 5 	 5000  
key(113) 	 0.012 		 2 	 5000  
key(112) 	 0.008 		 6 	 5000  
key(111) 	 0.008 		 8 	 5000  
key(110) 	 0.008 		 4 	 5000  
key(109) 	 0.01 		 5 	 5000  
key(108) 	 0.014 		 5 	 5000  
key(107) 	 0.01 		 6 	 5000  
key(106) 	 0.012 		 5 	 5000  
key(105) 	 0.012 		 5 	 5000  
key(104) 	 0.006 		 6 	 5000  
key(103) 	 0.01 		 4 	 5000  
key(102) 	 0.014 		 5 	 5000  
key(101) 	 0.012 		 5 	 5000  
key(100) 	 0.012 		 7 	 5000  
key(99) 	 0.014 		 5 	 5000  
key(98) 	 0.01 		 9 	 5000  
key(97) 	 0.01 		 7 	 5000  
key(96) 	 0.012 		 3 	 5000  
key(95) 	 0.012 		 2 	 5000  
key(94) 	 0.012 		 8 	 5000  
key(93) 	 0.016 		 3 	 5000  
key(92) 	 0.01 		 7 	 5000  
key(91) 	 0.012 		 8 	 5000  
key(90) 	 0.014 		 6 	 5000  
key(89) 	 0.016 		 5 	 5000  
key(88) 	 0.014 		 4 	 5000  
key(87) 	 0.008 		 6 	 5000  
key(86) 	 0.018 		 3 	 5000  
key(85) 	 0.006 		 4 	 5000  
key(84) 	 0.014 		 3 	 5000  
key(83) 	 0.014 		 9 	 5000  
key(82) 	 0.016 		 5 	 5000  
key(81) 	 0.008 		 8 	 5000  
key(80) 	 0.012 		 5 	 5000  
key(79) 	 0.01 		 6 	 5000  
key(78) 	 0.01 		 5 	 5000  
key(77) 	 0.01 		 6 	 5000  
key(76) 	 0.006 		 4 	 5000  
key(75) 	 0.006 		 4 	 5000  
key(74) 	 0.01 		 8 	 5000  
key(73) 	 0.008 		 5 	 5000  
key(72) 	 0.008 		 4 	 5000  
key(71) 	 0.014 		 9 	 5000  
key(70) 	 0.006 		 5 	 5000  
key(69) 	 0.01 		 8 	 5000  
key(68) 	 0.008 		 5 	 5000  
key(67) 	 0.008 		 6 	 5000  
key(66) 	 0.01 		 5 	 5000  
key(65) 	 0.012 		 7 	 5000  
key(64) 	 0.006 		 6 	 5000  
key(63) 	 0.012 		 6 	 5000  
key(62) 	 0.008 		 6 	 5000  
key(61) 	 0.012 		 10 	 5000  
key(60) 	 0.012 		 8 	 5000  
key(59) 	 0.01 		 2 	 5000  
key(58) 	 0.012 		 2 	 5000  
key(57) 	 0.01 		 8 	 5000  
key(56) 	 0.01 		 5 	 5000  
key(55) 	 0.018 		 5 	 5000  
key(54) 	 0.01 		 6 	 5000  
key(53) 	 0.01 		 5 	 5000  
key(52) 	 0.006 		 3 	 5000  
key(51) 	 0.014 		 6 	 5000  
key(50) 	 0.014 		 7 	 5000  
key(49) 	 0.01 		 8 	 5000  
key(48) 	 0.014 		 6 	 5000  
key(47) 	 0.012 		 10 	 5000  
key(46) 	 0.006 		 6 	 5000  
key(45) 	 0.018 		 3 	 5000  
key(44) 	 0.012 		 3 	 5000  
key(43) 	 0.006 		 2 	 5000  
key(42) 	 0.014 		 4 	 5000  
key(41) 	 0.008 		 3 	 5000  
key(40) 	 0.008 		 4 	 5000  
key(39) 	 0.012 		 6 	 5000  
key(38) 	 0.016 		 5 	 5000  
key(37) 	 0.008 		 5 	 5000  
key(36) 	 0.012 		 8 	 5000  
key(35) 	 0.018 		 5 	 5000  
key(34) 	 0.014 		 6 	 5000  
key(33) 	 0.014 		 6 	 5000  
key(32) 	 0.008 		 7 	 5000  
key(31) 	 0.008 		 4 	 5000  
key(30) 	 0.014 		 7 	 5000  
key(29) 	 0.012 		 5 	 5000  
key(28) 	 0.008 		 8 	 5000  
key(27) 	 0.006 		 6 	 5000  
key(26) 	 0.014 		 7 	 5000  
key(25) 	 0.01 		 6 	 5000  
key(24) 	 0.008 		 8 	 5000  
key(23) 	 0.012 		 3 	 5000  
key(22) 	 0.014 		 4 	 5000  
key(21) 	 0.006 		 4 	 5000  
key(20) 	 0.012 		 4 	 5000  
key(19) 	 0.006 		 4 	 5000  
key(18) 	 0.014 		 6 	 5000  
key(17) 	 0.01 		 8 	 5000  
key(16) 	 0.014 		 8 	 5000  
key(15) 	 0.006 		 6 	 5000  
key(14) 	 0.012 		 2 	 5000  
key(13) 	 0.01 		 9 	 5000  
key(12) 	 0.008 		 8 	 5000  
key(11) 	 0.01 		 9 	 5000  
key(10) 	 0.016 		 5 	 5000  
key(9) 	 0.01 		 5 	 5000  
key(8) 	 0.004 		 4 	 5000  
key(7) 	 0.012 		 3 	 5000  
key(6) 	 0.01 		 6 	 5000  
key(5) 	 0.01 		 6 	 5000  
key(4) 	 0.014 		 6 	 5000  
key(3) 	 0.006 		 5 	 5000  
key(2) 	 0.008 		 5 	 5000  
key(1) 	 0.008 		 5 	 5000  
key(0) 	 0.016 		 4 	 5000  
text_in(127) 	 0.01 		 3 	 5000  
text_in(126) 	 0.008 		 5 	 5000  
text_in(125) 	 0.006 		 5 	 5000  
text_in(124) 	 0.01 		 3 	 5000  
text_in(123) 	 0.006 		 4 	 5000  
text_in(122) 	 0.004 		 2 	 5000  
text_in(121) 	 0.012 		 1 	 5000  
text_in(120) 	 0.006 		 3 	 5000  
text_in(119) 	 0.008 		 6 	 5000  
text_in(118) 	 0.006 		 3 	 5000  
text_in(117) 	 0.004 		 4 	 5000  
text_in(116) 	 0.006 		 4 	 5000  
text_in(115) 	 0.01 		 4 	 5000  
text_in(114) 	 0.004 		 3 	 5000  
text_in(113) 	 0.006 		 4 	 5000  
text_in(112) 	 0.006 		 2 	 5000  
text_in(111) 	 0.012 		 3 	 5000  
text_in(110) 	 0.01 		 4 	 5000  
text_in(109) 	 0.004 		 2 	 5000  
text_in(108) 	 0.002 		 2 	 5000  
text_in(107) 	 0.008 		 2 	 5000  
text_in(106) 	 0.006 		 4 	 5000  
text_in(105) 	 0.006 		 2 	 5000  
text_in(104) 	 0.004 		 3 	 5000  
text_in(103) 	 0.006 		 3 	 5000  
text_in(102) 	 0.006 		 3 	 5000  
text_in(101) 	 0.008 		 3 	 5000  
text_in(100) 	 0.002 		 2 	 5000  
text_in(99) 	 0.01 		 5 	 5000  
text_in(98) 	 0.01 		 1 	 5000  
text_in(97) 	 0.006 		 4 	 5000  
text_in(96) 	 0.006 		 4 	 5000  
text_in(95) 	 0.004 		 4 	 5000  
text_in(94) 	 0.006 		 4 	 5000  
text_in(93) 	 0.008 		 5 	 5000  
text_in(92) 	 0.006 		 5 	 5000  
text_in(91) 	 0.004 		 1 	 5000  
text_in(90) 	 0.01 		 5 	 5000  
text_in(89) 	 0.006 		 4 	 5000  
text_in(88) 	 0.006 		 4 	 5000  
text_in(87) 	 0.006 		 3 	 5000  
text_in(86) 	 0.004 		 3 	 5000  
text_in(85) 	 0.008 		 4 	 5000  
text_in(84) 	 0.006 		 4 	 5000  
text_in(83) 	 0.006 		 4 	 5000  
text_in(82) 	 0.006 		 3 	 5000  
text_in(81) 	 0.004 		 3 	 5000  
text_in(80) 	 0.006 		 6 	 5000  
text_in(79) 	 0.004 		 2 	 5000  
text_in(78) 	 0.012 		 2 	 5000  
text_in(77) 	 0.012 		 3 	 5000  
text_in(76) 	 0.006 		 4 	 5000  
text_in(75) 	 0.008 		 4 	 5000  
text_in(74) 	 0.01 		 3 	 5000  
text_in(73) 	 0.004 		 3 	 5000  
text_in(72) 	 0.006 		 1 	 5000  
text_in(71) 	 0.01 		 3 	 5000  
text_in(70) 	 0.008 		 4 	 5000  
text_in(69) 	 0.008 		 3 	 5000  
text_in(68) 	 0.004 		 3 	 5000  
text_in(67) 	 0.01 		 5 	 5000  
text_in(66) 	 0.008 		 4 	 5000  
text_in(65) 	 0.01 		 1 	 5000  
text_in(64) 	 0.008 		 6 	 5000  
text_in(63) 	 0.01 		 1 	 5000  
text_in(62) 	 0.008 		 5 	 5000  
text_in(61) 	 0.006 		 4 	 5000  
text_in(60) 	 0.006 		 4 	 5000  
text_in(59) 	 0.008 		 3 	 5000  
text_in(58) 	 0.006 		 3 	 5000  
text_in(57) 	 0.004 		 2 	 5000  
text_in(56) 	 0.01 		 3 	 5000  
text_in(55) 	 0.008 		 4 	 5000  
text_in(54) 	 0.008 		 5 	 5000  
text_in(53) 	 0.008 		 4 	 5000  
text_in(52) 	 0.002 		 1 	 5000  
text_in(51) 	 0.01 		 5 	 5000  
text_in(50) 	 0.004 		 3 	 5000  
text_in(49) 	 0.008 		 6 	 5000  
text_in(48) 	 0.008 		 3 	 5000  
text_in(47) 	 0.01 		 5 	 5000  
text_in(46) 	 0.01 		 3 	 5000  
text_in(45) 	 0.01 		 4 	 5000  
text_in(44) 	 0.01 		 4 	 5000  
text_in(43) 	 0.008 		 6 	 5000  
text_in(42) 	 0.004 		 4 	 5000  
text_in(41) 	 0.006 		 5 	 5000  
text_in(40) 	 0.01 		 1 	 5000  
text_in(39) 	 0.008 		 3 	 5000  
text_in(38) 	 0.004 		 3 	 5000  
text_in(37) 	 0.006 		 3 	 5000  
text_in(36) 	 0.008 		 3 	 5000  
text_in(35) 	 0.01 		 3 	 5000  
text_in(34) 	 0.004 		 4 	 5000  
text_in(33) 	 0.012 		 3 	 5000  
text_in(32) 	 0.012 		 3 	 5000  
text_in(31) 	 0.004 		 4 	 5000  
text_in(30) 	 0.004 		 4 	 5000  
text_in(29) 	 0.004 		 4 	 5000  
text_in(28) 	 0.012 		 2 	 5000  
text_in(27) 	 0.006 		 3 	 5000  
text_in(26) 	 0.0 		 0 	 5000  
text_in(25) 	 0.002 		 2 	 5000  
text_in(24) 	 0.004 		 4 	 5000  
text_in(23) 	 0.008 		 5 	 5000  
text_in(22) 	 0.008 		 5 	 5000  
text_in(21) 	 0.008 		 5 	 5000  
text_in(20) 	 0.01 		 5 	 5000  
text_in(19) 	 0.004 		 2 	 5000  
text_in(18) 	 0.008 		 2 	 5000  
text_in(17) 	 0.006 		 3 	 5000  
text_in(16) 	 0.004 		 4 	 5000  
text_in(15) 	 0.006 		 2 	 5000  
text_in(14) 	 0.004 		 1 	 5000  
text_in(13) 	 0.008 		 7 	 5000  
text_in(12) 	 0.008 		 3 	 5000  
text_in(11) 	 0.006 		 6 	 5000  
text_in(10) 	 0.006 		 6 	 5000  
text_in(9) 	 0.006 		 3 	 5000  
text_in(8) 	 0.008 		 5 	 5000  
text_in(7) 	 0.006 		 5 	 5000  
text_in(6) 	 0.008 		 3 	 5000  
text_in(5) 	 0.01 		 3 	 5000  
text_in(4) 	 0.004 		 4 	 5000  
text_in(3) 	 0.002 		 2 	 5000  
text_in(2) 	 0.008 		 3 	 5000  
text_in(1) 	 0.004 		 1 	 5000  
text_in(0) 	 0.004 		 4 	 5000  
clk 	 0.5 		 1000 	 5000  
rst 	 0.993 		 1 	 5000  
ld 	 0.036 		 36 	 5000  
n9853 	 0.036 		 36 	 5000  
n9854 	 0.476 		 93 	 5000  
n9855 	 0.466 		 100 	 5000  
n9856 	 0.482 		 75 	 5000  
n9857 	 0.45 		 56 	 5000  
n9858 	 0.502 		 51 	 5000  
n9859 	 0.455 		 68 	 5000  
n9860 	 0.468 		 57 	 5000  
n9861 	 0.456 		 91 	 5000  
n9862 	 0.479 		 114 	 5000  
n9863 	 0.442 		 117 	 5000  
n9864 	 0.484 		 136 	 5000  
n9865 	 0.445 		 99 	 5000  
n9866 	 0.466 		 114 	 5000  
n9867 	 0.449 		 110 	 5000  
n9868 	 0.452 		 141 	 5000  
n9869 	 0.465 		 126 	 5000  
n9870 	 0.452 		 6 	 5000  
n9871 	 0.476 		 0 	 5000  
n9872 	 0.435 		 0 	 5000  
n9873 	 0.496 		 2 	 5000  
n9874 	 0.497 		 10 	 5000  
n9875 	 0.482 		 0 	 5000  
n9876 	 0.483 		 0 	 5000  
n9877 	 0.447 		 0 	 5000  
n9878 	 0.503 		 116 	 5000  
n9879 	 0.454 		 139 	 5000  
n9880 	 0.451 		 126 	 5000  
n9881 	 0.498 		 84 	 5000  
n9882 	 0.467 		 89 	 5000  
n9883 	 0.498 		 90 	 5000  
n9884 	 0.458 		 126 	 5000  
n9885 	 0.447 		 83 	 5000  
n9886 	 0.499 		 96 	 5000  
n9887 	 0.476 		 118 	 5000  
n9888 	 0.46 		 124 	 5000  
n9889 	 0.485 		 143 	 5000  
n9890 	 0.463 		 91 	 5000  
n9891 	 0.485 		 115 	 5000  
n9892 	 0.463 		 107 	 5000  
n9893 	 0.469 		 122 	 5000  
n9894 	 0.491 		 8 	 5000  
n9895 	 0.455 		 8 	 5000  
n9896 	 0.503 		 4 	 5000  
n9897 	 0.452 		 5 	 5000  
n9898 	 0.489 		 4 	 5000  
n9899 	 0.47 		 23 	 5000  
n9900 	 0.447 		 3 	 5000  
n9901 	 0.466 		 5 	 5000  
n9902 	 0.484 		 147 	 5000  
n9903 	 0.49 		 111 	 5000  
n9904 	 0.446 		 145 	 5000  
n9905 	 0.448 		 108 	 5000  
n9906 	 0.493 		 124 	 5000  
n9907 	 0.437 		 114 	 5000  
n9908 	 0.439 		 127 	 5000  
n9909 	 0.445 		 121 	 5000  
n9910 	 0.479 		 130 	 5000  
n9911 	 0.473 		 108 	 5000  
n9912 	 0.476 		 101 	 5000  
n9913 	 0.485 		 79 	 5000  
n9914 	 0.452 		 94 	 5000  
n9915 	 0.504 		 115 	 5000  
n9916 	 0.47 		 102 	 5000  
n9917 	 0.425 		 110 	 5000  
n9918 	 0.49 		 105 	 5000  
n9919 	 0.463 		 128 	 5000  
n9920 	 0.522 		 63 	 5000  
n9921 	 0.458 		 79 	 5000  
n9922 	 0.473 		 139 	 5000  
n9923 	 0.506 		 110 	 5000  
n9924 	 0.448 		 90 	 5000  
n9925 	 0.492 		 100 	 5000  
n9926 	 0.464 		 125 	 5000  
n9927 	 0.486 		 103 	 5000  
n9928 	 0.522 		 121 	 5000  
n9929 	 0.434 		 110 	 5000  
n9930 	 0.441 		 106 	 5000  
n9931 	 0.457 		 141 	 5000  
n9932 	 0.507 		 106 	 5000  
n9933 	 0.472 		 158 	 5000  
n9934 	 0.464 		 10 	 5000  
n9935 	 0.442 		 0 	 5000  
n9936 	 0.454 		 8 	 5000  
n9937 	 0.476 		 0 	 5000  
n9938 	 0.474 		 1 	 5000  
n9939 	 0.471 		 2 	 5000  
n9940 	 0.499 		 1 	 5000  
n9941 	 0.466 		 1 	 5000  
n9942 	 0.492 		 111 	 5000  
n9943 	 0.463 		 115 	 5000  
n9944 	 0.472 		 94 	 5000  
n9945 	 0.462 		 104 	 5000  
n9946 	 0.47 		 105 	 5000  
n9947 	 0.471 		 94 	 5000  
n9948 	 0.442 		 121 	 5000  
n9949 	 0.488 		 159 	 5000  
n9950 	 0.461 		 105 	 5000  
n9951 	 0.49 		 151 	 5000  
n9952 	 0.494 		 122 	 5000  
n9953 	 0.487 		 112 	 5000  
n9954 	 0.477 		 119 	 5000  
n9955 	 0.468 		 104 	 5000  
n9956 	 0.471 		 116 	 5000  
n9957 	 0.441 		 115 	 5000  
n9958 	 0.433 		 74 	 5000  
n9959 	 0.501 		 72 	 5000  
n9960 	 0.486 		 67 	 5000  
n9961 	 0.448 		 97 	 5000  
n9962 	 0.482 		 78 	 5000  
n9963 	 0.474 		 92 	 5000  
n9964 	 0.452 		 80 	 5000  
n9965 	 0.467 		 75 	 5000  
n9966 	 0.458 		 23 	 5000  
n9967 	 0.46 		 29 	 5000  
n9968 	 0.48 		 12 	 5000  
n9969 	 0.455 		 11 	 5000  
n9970 	 0.452 		 34 	 5000  
n9971 	 0.496 		 65 	 5000  
